subject,predicate,object,start_date,end_date
1560 Portuguese invasion of the Jaffna kingdom,participant,Portuguese Empire,1560-01-01,1560-01-01
Battle of Fukuda Bay,participant,Kingdom of Portugal,1565-10-28,1565-10-28
Francisco Barreto's expedition to Monomotapa,participant,Kingdom of Portugal,1569-04-01,1573-01-01
Martim Afonso de Sousa's expedition to Brazil,participant,Kingdom of Portugal,1569-04-01,1573-01-01
Siege of Goa,participant,Kingdom of Portugal,1570-12-01,1571-12-23
Siege of Chaul,participant,Portuguese Empire,1570-12-25,1571-08-03
Siege of Honavar,participant,Portuguese Empire,1571-07-01,1571-07-01
Siege of Malacca,participant,Portuguese Empire,1573-10-01,1573-11-01
Siege of Malacca,participant,Portuguese Empire,1574-10-15,1574-12-01
Siege of Malacca,participant,Portuguese Empire,1575-02-10,1575-02-27
Battle of Alcácer Quibir,participant,Kingdom of Portugal,1578-08-14,1578-08-14
Cuanza River Campaign,participant,Kingdom of Portugal,1580-05-01,1580-05-01
Battle of Alcântara,participant,Kingdom of Portugal,1580-09-04,1580-09-04
Naval Battle of the Tagus,participant,Kingdom of Portugal,1580-09-07,1580-09-07
Capture of Porto,participant,Kingdom of Portugal,1580-11-03,1580-11-03
Capture of Muscat,participant,Portuguese Empire,1581-01-01,1581-01-01
Siege of Daman,participant,Portuguese Empire,1581-01-01,1581-01-01
Battle of Salga,participant,Kingdom of Portugal,1581-08-04,1581-08-04
Battle of Ponta Delgada,participant,Kingdom of Portugal,1582-08-05,1582-08-05
Battle of Talandongo,participant,Kingdom of Portugal,1583-02-02,1583-02-02
Ternate expedition,participant,Portuguese Empire,1585-02-01,1585-10-01
Battle of Johor,participant,Portuguese Empire,1586-01-01,1586-01-01
Siege of Colombo,participant,Portuguese Empire,1587-06-01,1588-02-01
Siege of Johor,participant,Portuguese Empire,1587-07-01,1587-08-01
Battle of Mombasa,participant,Kingdom of Portugal,1589-03-05,1589-03-05
1591 portuguese invasion of the Jaffna kingdom,participant,Portuguese Empire,1591-01-01,1591-01-01
Battle of Flores,participant,Portugal,1592-05-20,1592-08-13
Banten invasion of Palembang,participant,Kingdom of Portugal,1596-01-01,1596-01-01
Zamorin–Portuguese conflicts,participant,Portuguese Empire,1600-01-01,1600-01-01
Ternate expedition,participant,Portuguese Empire,1603-02-14,1603-03-23
Syriam battles,participant,Kingdom of Portugal,1605-01-22,1605-01-29
Capture of Amboina,participant,Portuguese Empire,1605-02-22,1605-02-22
Battle of Cape Rachado,participant,Portugal,1606-08-18,1606-08-18
Battle of Pulo Buton,participant,Kingdom of Portugal,1606-12-13,1606-12-16
Siege of Mozambique,participant,Portuguese Empire,1607-03-29,1607-08-20
Siege of Mozambique,participant,Portuguese Empire,1608-07-01,1608-08-18
Red Seal ship incident,participant,Kingdom of Portugal,1608-11-30,1608-11-30
Nossa Senhora da Graça incident,participant,Kingdom of Portugal,1610-01-03,1610-01-06
Battle of Swally,participant,Portugal,1612-12-09,1612-12-10
Capture of Cambarão,participant,Portuguese Empire,1614-09-29,1614-12-21
Battle of Formoso River,participant,Portuguese Empire,1615-11-27,1615-12-02
Barbary–Portuguese conflicts,participant,Kingdom of Portugal,1617-01-01,1819-01-01
Portuguese attack on the Catherine,participant,Kingdom of Portugal,1618-09-01,1618-09-01
Battle of Vannarapannai,participant,Portuguese Empire,1619-01-01,1619-01-01
Battle of Dschask,participant,Portugal,1620-12-28,1620-12-28
Anglo-Persian capture of Qeshm,participant,Portuguese Empire,1621-06-01,1622-02-01
Sinking of the Nossa Senhora da Conceição,participant,Kingdom of Portugal,1621-10-08,1621-10-11
Battle of Macau,participant,Portuguese Empire,1622-06-22,1622-06-24
Siege of Basra,participant,Kingdom of Portugal,1624-01-01,1628-01-01
Filips van Zuylen's campaign agaisnt Luanda,participant,Kingdom of Portugal,1624-06-01,1624-12-01
Battle of the three islands,participant,Portugal,1625-02-01,1625-02-24
Battle of Duyon River,participant,Portuguese Empire,1629-06-01,1629-12-01
Sinking of the Flensborg,participant,Portuguese Empire,1629-12-02,1629-12-02
Battle of Jambi,participant,Kingdom of Portugal,1630-04-05,1630-05-05
Battle of Abrolhos,participant,Portugal,1631-09-12,1631-09-12
Siege of Hooghly,participant,Portuguese Empire,1632-06-24,1632-09-24
Capture of Julfar,participant,Portuguese Empire,1633-01-01,1633-01-01
Siege of Sohar,participant,Portuguese Empire,1633-08-08,1643-11-07
Battle of Goa,participant,Kingdom of Portugal,1638-01-01,1639-01-01
Siege of Daman,participant,Portuguese Empire,1638-01-01,1639-01-01
Action of 30 September 1639,participant,Portuguese Empire,1639-09-30,1639-09-30
Siege of Malacca,participant,Portuguese Empire,1640-08-03,1641-01-14
Portuguese Restoration War,participant,Kingdom of Portugal,1640-12-01,1668-02-13
Siege of São Filipe,participant,Kingdom of Portugal,1641-03-27,1642-03-04
Battle of Vilaza,participant,Kingdom of Portugal,1642-01-01,1642-01-01
Battle of Casa Forte,participant,Kingdom of Portugal,1645-08-17,1645-08-17
Battle of Tejucupapo,participant,Kingdom of Portugal,1646-04-24,1646-04-24
Siege of Kweilin,participant,Kingdom of Portugal,1647-03-01,1647-07-01
Capture of Muscat,participant,Portuguese Empire,1649-01-01,1650-01-01
Luso–Bijapuri War,participant,Portuguese Empire,1654-01-01,1655-03-07
Action of 23 March 1654,participant,Portuguese Empire,1654-03-23,1654-03-23
Action of 2 May 1654,participant,Portuguese Empire,1654-05-02,1654-05-02
Battle of Mannar,participant,Portuguese Empire,1658-02-22,1658-02-22
Battle of Margão,participant,Portuguese Empire,1659-01-01,1659-01-01
Battle of Mbwila,participant,Portugal,1665-10-29,1665-10-29
Johor–Jambi wars,participant,Portuguese Empire,1666-01-01,1681-01-01
Johor-Jambi war,participant,Portuguese Empire,1666-01-01,1681-01-01
Mbwila Rebellion,participant,Kingdom of Portugal,1691-01-01,1693-01-01
Mughal–Portuguese War,participant,Portuguese Empire,1692-01-01,1693-01-01
Battle of Daman,participant,Portuguese Empire,1694-03-23,1694-03-23
Battle of Mamora,participant,Portuguese Empire,1696-01-01,1696-01-01
Siege of Mombasa,participant,Portuguese Empire,1696-03-13,1698-12-13
War of the Spanish Succession,participant,Kingdom of Portugal,1701-03-01,1714-09-07
Battle of Surat,participant,Portuguese Empire,1704-02-02,1704-02-02
